cell_type,names,logfoldchanges,pvals,pvals_adj
B,CD79A,7.879504,0.0,0.0
B,MS4A1,7.1828995,0.0,0.0
B,CD79B,5.5937934,0.0,0.0
B,CD37,2.5068042,0.0,0.0
B,CD74,3.702291,0.0,0.0
B,BANK1,6.645679,0.0,0.0
B,IGHM,7.7177634,0.0,0.0
B,HLA-DRA,3.637557,0.0,0.0
B,HLA-DPB1,3.289906,0.0,0.0
B,HLA-DRB1,3.2880778,0.0,0.0
B,IGHD,7.9244103,0.0,0.0
B,CD22,6.990638,0.0,0.0
B,IGKC,6.028183,0.0,0.0
B,VPREB3,7.758194,0.0,0.0
B,TCL1A,6.9991055,0.0,0.0
B,FCER2,5.6921034,9.823643352033582e-285,3.1641487444359596e-282
B,CD72,5.0689025,2.451028187938552e-171,3.3380042946073215e-169
B,CD19,6.475588,2.3746783962305346e-127,1.9830030459386837e-125
B,TNFRSF13B,7.0832515,1.6544249098478341e-37,3.7095679857052213e-36
CD14+ Mono,S100A9,7.309614,0.0,0.0
CD14+ Mono,S100A8,7.396416,0.0,0.0
CD14+ Mono,LYZ,6.468471,0.0,0.0
CD14+ Mono,MNDA,6.0252633,0.0,0.0
CD14+ Mono,VCAN,6.810772,0.0,0.0
CD14+ Mono,FCN1,6.148809,0.0,0.0
CD14+ Mono,S100A12,7.1948376,0.0,0.0
CD14+ Mono,CD14,6.8570733,0.0,0.0
CD14+ Mono,GRN,4.44588,0.0,0.0
CD14+ Mono,CSF3R,5.573221,0.0,0.0
CD14+ Mono,APLP2,3.8378375,0.0,0.0
CD14+ Mono,TYROBP,4.516472,0.0,0.0
CD14+ Mono,LGALS1,4.294404,0.0,0.0
CD14+ Mono,CEBPD,4.1946683,0.0,0.0
CD14+ Mono,CST3,5.091176,0.0,0.0
CD14+ Mono,SERPINA1,4.689272,0.0,0.0
CD14+ Mono,CLEC7A,4.4554563,0.0,0.0
CD14+ Mono,CD68,4.21613,0.0,0.0
CD14+ Mono,LGALS2,5.346315,0.0,0.0
CD14+ Mono,FCER1G,3.8306394,0.0,0.0
CD4 T,LDHB,2.610586,0.0,0.0
CD4 T,TRAC,3.591416,0.0,0.0
CD4 T,CD3D,3.4716358,0.0,0.0
CD4 T,IL7R,3.8526313,0.0,0.0
CD4 T,TCF7,3.4638603,0.0,0.0
CD4 T,CD3G,3.4614878,0.0,0.0
CD4 T,CD3E,3.1138785,0.0,0.0
CD4 T,NOSIP,2.5542982,0.0,0.0
CD4 T,LTB,2.4864893,0.0,0.0
CD4 T,CD27,2.8963664,0.0,0.0
CD4 T,CD2,2.787648,0.0,0.0
CD4 T,MAL,5.167538,0.0,0.0
CD4 T,LEF1,4.3130608,0.0,0.0
