gene,signalValue,dist
DUSP16,105.82675,296
HSPE1,97.39545,0
HSPE1-MOB4,97.39545,0
PNRC1,93.72432,0
ENSG00000266680,91.36475,0
ENSG00000285976,91.36475,0
BICRAL,91.28282,0
GOLPH3-DT,89.92921,0
GOLPH3,89.92921,0
N4BP2,89.05172,0
ENSG00000205794,89.05172,0
CCDC117,86.71442,0
SLC7A2,86.28951,0
ENSG00000280453,86.28951,0
ENSG00000279271,86.28951,0
USP22,84.52027,658
PPP2R5A,83.6955,0
UNK,82.51335,0
MIR4738,82.51335,0
H3-3B,82.51335,0
